/hum1, -19.8694744024, -43.9583882628, 6909.99315564
/hum1, -19.8694814982, -43.9583890558, 6909.82204049
/hum1, -19.8695948379, -43.9583673953, 7208.00222995
/hum1, -19.8696751281, -43.9583534837, 7754.97741537
/hum1, -19.8696751281, -43.9583534837, 7754.97741537
/hum1, -19.8695819462, -43.9583163711, 7652.79629641
/hum1, -19.8694816685, -43.9582784656, 7924.24185515
/hum1, -19.8693853116, -43.9582371842, 9321.3804757
/hum1, -19.8693505787, -43.9582256743, 10018.0207503
/hum1, -19.8693505787, -43.9582256743, 10018.0207503
/hum1, -19.8693894027, -43.9581232181, 12886.4659785
/hum1, -19.8693894027, -43.9581232181, 12886.4659785
/hum1, -19.8694825847, -43.9581603306, 10742.3275362
/hum1, -19.8695789416, -43.9582016121, 10049.3147656
/hum1, -19.8696792192, -43.9582395176, 10662.9472978
/hum1, -19.8697100313, -43.9582544034, 10705.5404288
/hum1, -19.8697100313, -43.9582544034, 10705.5404288
/hum1, -19.8697488551, -43.9581519471, 16549.39027
/hum1, -19.8697488551, -43.9581519471, 16549.39027
/hum1, -19.8696556733, -43.9581148346, 15031.1260913
/hum1, -19.8695553957, -43.9580769291, 13952.8103181
/hum1, -19.8694590387, -43.9580356476, 15122.8078876
/hum1, -19.8694314016, -43.9580249308, 15660.5300714
/hum1, -19.8694314016, -43.9580249308, 15660.5300714
/hum1, -19.8695479164, -43.9580074392, 16468.9167884
/hum1, -19.8696250316, -43.9579893587, 18727.6106693
/hum1, -19.8696250316, -43.9579893587, 18727.6106693
/hum1, -19.8696242859, -43.9579969035, 18452.7234416
/hum1, -19.8697012307, -43.9580894131, 17817.4273272
/hum1, -19.8697481094, -43.958159492, 16124.4313297
/hum1, -19.8697481094, -43.958159492, 16124.4313297
/hum1, -19.8697333425, -43.9580548607, 20427.4003831
/hum1, -19.8697193215, -43.9579426846, 22302.1338907
/hum1, -19.8697013797, -43.9578338844, 22505.1488013
/hum1, -19.8696980129, -43.957795367, 22432.715589
/hum1, -19.8696980129, -43.957795367, 22432.715589
/hum1, -19.8697964153, -43.9577796654, 19359.5000133
/hum1, -19.8697964153, -43.9577796654, 19359.5000133
/hum1, -19.8698111821, -43.9578842967, 21981.903494
/hum1, -19.8698291239, -43.9579930969, 23822.9611998
/hum1, -19.8698431449, -43.9581052731, 20936.806674
/hum1, -19.8698504324, -43.9581404145, 19000.9415776
/hum1, -19.8698504324, -43.9581404145, 19000.9415776
/hum1, -19.8699488347, -43.9581247129, 17752.3682563
/hum1, -19.8699488347, -43.9581247129, 17752.3682563
/hum1, -19.8699340679, -43.9580200816, 21466.2992097
/hum1, -19.8699200468, -43.9579079055, 19683.7223553
/hum1, -19.8699021051, -43.9577991053, 15797.1536946
/hum1, -19.8698979925, -43.9577681328, 14849.9691515
/hum1, -19.8698979925, -43.9577681328, 14849.9691515
/hum1, -19.8699741915, -43.9578681872, 15410.8669191
/hum1, -19.8700218158, -43.9579307213, 14999.5773686
